Name ,Link,Party,Acct
"Castor, Kathy",https://twitter.com/USRepKCastor,D,USRepKCastor
"Castro, Joaquin",https://twitter.com/JoaquinCastrotx,D,JoaquinCastrotx
"Chu, Judy",https://twitter.com/RepJudyChu,D,RepJudyChu
"Cicilline, David",https://twitter.com/RepCicilline,D,RepCicilline
"Clark, Katherine",https://twitter.com/RepKClark,D,RepKClark
"Clarke, Yvette D.",https://twitter.com/RepYvetteClarke,D,RepYvetteClarke
"Cleaver, Emanuel",https://twitter.com/repcleaver,D,repcleaver
"Clyburn, James E.",https://twitter.com/WhipClyburn,D,WhipClyburn
"Cohen, Steve",https://twitter.com/RepCohen,D,RepCohen
"Connolly, Gerald E. ""Gerry""",https://twitter.com/GerryConnolly,D,GerryConnolly
"Cooper, Jim",https://twitter.com/repjimcooper,D,repjimcooper
"Correa, J. Luis",https://twitter.com/RepLouCorrea,D,RepLouCorrea
"Costa, Jim",https://twitter.com/RepJimCosta,D,RepJimCosta
"Courtney, Joe",https://twitter.com/RepJoeCourtney,D,RepJoeCourtney
"Craig, Angie",https://twitter.com/RepAngieCraig,D,RepAngieCraig
"Crist, Charlie",https://twitter.com/RepCharlieCrist,D,RepCharlieCrist
"Crow, Jason",https://twitter.com/RepJasonCrow,D,RepJasonCrow
"Cuellar, Henry",https://twitter.com/RepCuellar,D,RepCuellar
"Davids, Sharice",https://twitter.com/RepDavids,D,RepDavids
"Davis, Danny K.",https://twitter.com/RepDannyDavis,D,RepDannyDavis
"Dean, Madeleine",https://twitter.com/RepDean,D,RepDean
"DeFazio, Peter",https://twitter.com/RepPeterDeFazio,D,RepPeterDeFazio
"DeGette, Diana",https://twitter.com/RepDianaDeGette,D,RepDianaDeGette
"DeLauro, Rosa L.",https://twitter.com/rosadelauro,D,rosadelauro
"DelBene, Suzan",https://twitter.com/RepDelBene,D,RepDelBene
"Delgado, Antonio",https://twitter.com/repdelgado,D,repdelgado
"Demings, Val",https://twitter.com/RepValDemings,D,RepValDemings
"DeSaulnier, Mark",https://twitter.com/RepDeSaulnier,D,RepDeSaulnier
"Deutch, Ted",https://twitter.com/RepTedDeutch,D,RepTedDeutch
"Dingell, Debbie",https://twitter.com/RepDebDingell,D,RepDebDingell
"Doggett, Lloyd",https://twitter.com/RepLloydDoggett,D,RepLloydDoggett
"Doyle, Michael",https://twitter.com/USRepMikeDoyle,D,USRepMikeDoyle
